xml:id,forename,surname,addName,role,trait_texts,birth_date,birth_place,death_date,death_place,nationality,works,ulan,bnf,viaf,isni,vat,wikidata
Anfione,Anfione,Cnossos,Anfione di Cnossos; Anfione,sculpteur de la Grèce antique,sculpteur ou sculptrice,0450,Cnossos,0500,N/A,,,,,,,,Q3616665
HieronymusCock,Hieronymus,Cock,Jerosme Kouc; Jerôme Cock,graveur et imprimeur anversois (1518-1570),Comment on works: Landscapes with religious or mythological figures | Jérôme Cock chez Monier,1518-01-01,Antwerpen,1570-10-20,Antwerpen,Pays-Bas méridionaux,,500005618,11972820m,76325072,0000000118624119,495/48752,Q640361
MaertenDeCock,Maerten de,Cock,Martin Cook,"artist, engraver, draftsman, painter",Comment on works: drawings,1580,N/A,1690,N/A,,,,,,,,
HoratiusCocles,Horatius,Coclès,Lars Porsena; Horatius Cocles,héros légendaire romain,militaire romain,0600,N/A,,N/A,Rome antique,,,,1025159234643603372312,,,Q1115859
BenedettoCoda,Benedetto,Coda,Benoist Coda de Ferrare,peintre italien,Comment on works: religious | Benoist Coda de Ferrare pour Monier ?,1492-01-01,Trévise,1535-01-01,Rimini,,,500020768,,3560806,0000000050350843,,Q327706
MaykenCoecke,Mayken,Coecke,N/A; Mayken Coecke,n/a,artiste peintre | Fille de Pieter Coecke. Femme de Pieter Bruegel le Vieux,1545,Bruxelles,1578,Bruxelles,,,,,,,,Q28567978
PieterCoeckeVanAelst,Pieter,Coecke van Aelst,Pierre Cocuek; PIERRE KOUC; Pierre Kouc,peintre et architecte-scénographe flamand (1502–1550),"Diverse artist most famous for his publishing activity. The translation of Sebastiano Serlio that he issued from 1539 played a large role
            in spreading Renaissance ideas in the Netherlands. His artwork is heavily influenced by Italian art. Pieter Coecke's second wife, Mayken
            Verhulst and several of his sons from his first and second marriages, including Pieter II and Paul, continued his workshop in Brussels
            after his death. Van Mander stated that Coecke was the teacher of his son-in-law, Pieter Bruegel the Elder, but there is no influence of
            Coecke in Bruegel's work. Comment on works: Religious; Turkish scenes; Landscapes",1502-08-14,Aalst,1550-12-06,Bruxelles,Pays-Bas méridionaux,,500115332,149625816,12575995,0000000080921854,495/129289,Q434006
EdouardColbertVillacerf,Edouard,Colbert,Édouard Colbert de Villacerf; MARQUIS DE VILACERF,n/a,personnalité politique | Marquis de Vilacref,1628,N/A,1699-10-17,Paris,France,,,,88939499,0000000062449031,495/216243,Q3579778
JeanJulesArmandColbert,Jean Jules Armand,Colbert,Jean Jules Armand Colbert; JULE ARMAND COLBERT,général français,militaire | Quatrième fils de Jean-Baptiste Colbert,1663-12-17,N/A,1704-08-13,Ulm,France,,,,,,,Q3166555
JeanBaptisteColbert,Jean-Baptiste,Colbert,Jean-Baptiste Colbert; Monsieur Colbert; M. Colbert; Colbert,"homme d'État français, ministre de Louis XIV, contrôleur général des finances","économiste, personnalité politique, juriste, agent administratif | Surintendant des Bâtiments",1619-08-29,Reims,1683-09-06,Paris,France,,500257321,12428884j,59175183,0000000080774620,495/125,Q188971
AdriaenCollaert,Adriaen,Collaert,Collært,graveur flamand,N/A,1560-01-01,Antwerpen,1618-06-29,Antwerpen,Pays-Bas méridionaux,,500021205,13546129q,100184256,0000000120967209,495/76396,Q2825010
RaffaellinoDelColle,Raffaellino del,Colle,Rafaël Dal Colle Borghese,peintre italien,Comment on works: Religious,1490-01-01,Sansepolcro,1566-11-17,Sansepolcro,République florentine,,500021279,149574661,79202275,0000000083969810,,Q1323835
ChristopheColomb,Christophe,Colomb,Christophe Colomb; Cristofle Colomb,"navigateur et explorateur italien, XVe et début du XVIe siècle","explorateur ou exploratrice, marin, navigateur ou navigatrice, voyageur ou voyageuse, inventeur",1451,Gênes,1506-05-20,Valladolid,république de Gênes,,500237956,119304566,17231583,0000000121222444,495/40954,Q7322
FrancoisColombeDuLys,François,Colombe du Lys,Colombe du Lys,peintre français actif à Toulouse,artiste peintre,1595,Domrémy-la-Pucelle,1661-01-01,Toulouse,,,,,,,,Q105210094
ArnaudColomiez,Arnaud,Colomiez,ARNAUD COL0MIEZ,,,,,,,,,,,,,,
MartinV,Odo,Colonna,Martin V; Martin Cinquieme,"206e pape de l'Église catholique, de 1417 à 1431","prêtre catholique, écrivain ou écrivaine, diacre de transition | Pape sous le nom de Martin V",1369-01-01,Genazzano,1431-02-20,Rome,États pontificaux,,,12131322m,18147945,0000000121201934,495/17474,Q169612
PompeoColonna,Pompeo,Colonna,Pompeo Colonna; Cardinal Colonne,cardinal de l'Église catholique romaine,"poète ou poétesse, prêtre catholique, évêque catholique",1479-05-12,Rome,1532-06-28,Naples,États pontificaux,,,122505575,27422743,0000000061359755,495/160145,Q176545
VittoriaColonna,Vittoria,Colonna,Vittoria Colonna; Marquise de Pescara,n/a,"poète ou poétesse, écrivain ou écrivaine",1490-04-01,Marino,1547-02-25,Rome,,,500316062,120325912,90639203,0000000117743087,495/52083,Q255368
DenysDeColophon,"Denys, de",Colophon,Dionysios de Colophon; Dionisio,peintre grec,artiste peintre | imitateur de Polygnote,0500-01-01,Colophon,0500-01-01,N/A,,,,,,,,Q11917274
Colote,Colotès,Colotès,Colotès; Colloteico; Colote,philosophe antique,philosophe | Peut-être Colotès en français,0320,Lampsaque,,N/A,,,,,506149294081180520185,0000000058235604,495/64516,Q1234536
Columelle,Columelle,Columelle,Columelle,agronome romain,"écrivain ou écrivaine, poète ou poétesse",0004-01-01,Cadix,0070-01-01,Tarente,Rome antique,,,119300323,95243635,0000000120186322,495/15487,Q318317
GregorioComanini,Gregorio,Comanini,Gregorio Comanini; Don Gregorio Comanino,poète et historien italien,"poète ou poétesse, historien ou historienne",1550,Mantoue,1608,Mantoue,,,500316070,14542791z,80668576,0000000083449778,,Q3776496
Commode,Commode,Commode,Commode; Empereur Commode,empereur romain de 180 à 192,dirigeant ou dirigeante,0161-08-31,Lanuvium,0192-12-31,Rome,Rome antique,,500355670,14455354d,23502412,0000000061274479,495/104793,Q1434
DomenicoCompagni,Domenico,Compagni,"Dominique de Cameï; Dominique de
            Cameï",graveur italien,"orfèvre graveur ou graveuse, médailleur | graveur italien",1600-00-00,Rome,1586-00-00,,,,500076860,,96226319,,,Q51574250
Concini,famille,Concini,,,famille d'Arezzo,,,,,,,,,,,,
AscanioCondivi,Ascanio,Condivi,Ascanio Condivi,peintre italien,"artiste peintre, sculpteur ou sculptrice, écrivain ou écrivaine, historien ou historienne de l'art, biographe",1525,Ripatransone,1574-12-10,Ripatransone,,,500115521,12598064b,14891203,0000000107972863,495/5273,Q721545
EugeneIV,Gabriele,Condulmer,Eugene IV; Eugene le quart; Pape Eugene quatriéme; Pape Eugene; Eugène IV.,"207e pape de l'Église catholique, de 1431 à 1447","philosophe, prêtre catholique, évêque catholique",1383-01-01,Venise,1447-02-23,Rome,république de Venise,,500356816,122555681,12365672,0000000121209311,495/14891,Q167561
ConstanceII,Constance,Constance II,Constance II; Constantius; Constance,empereur romain de 337 à 361,personnalité politique,0317-08-07,Sirmium,0361-11-03,Cilicie,Rome antique,,500355678,11946750m,35247811,0000000066311670,495/23294,Q46418
Constant,Constant,Constant Ier,Constant Ier; Constant,empereur romain de 337 à 350,personnalité politique,0320-01-01,Italie,0350-01-18,Elne,Rome antique,,500355674,,89202717,0000000062153580,,Q185538
ConstantII,Constant,Constant II,Constant II,empereur byzantin de 641 à 668,empereur | Empereur byzantin de 641 à 668,0630-11-07,Constantinople,0668-09-15,Syracuse,Empire byzantin,,,12001839x,267303429,000000038301301X,495/32471,Q41613
Constantin,Constantin,Constantin Ier,Constantin le Grand; Magno Constantino; Grand Constantin; Costantino; Constantin,empereur romain de 310 à 337,"personnalité politique, militaire, souverain",0272-02-27,Niš,0337-05-22,Nicomédie,Rome antique,,500115703,12182910j,97746098,0000000120966935,495/52856,Q8413
ConstantinV,Constantin,Constantin V,Constantin V; Constantin Copronime,empereur byzantin de 741 à 775,souverain | Empereur byzantin de 741 à 775,0718,Constantinople,0775-09-14,N/A,Empire byzantin,,,121356979,298155661,000000040257784X,,Q41635
ConstantinVI,Constantin,Constantin VI,Constantin VI,empereur byzantin de 780 à 797,personnalité politique | Empereur byzantin de 7980 à 797,0771-01-14,Constantinople,0798,Constantinople,Empire byzantin,,,,27863342,0000000358057870,495/187786,Q41661
SainteConstance,Constance,Constantina,Constantina; Sainte Constance,fille de l'empereur romain Constantin le Grand,"garde malade | Impératrice, fille de l'empereur Constantin Ier ; considérée comme Sainte",0315,Rome,0354-01-01,Empire romain,Rome antique,,,,34843557,,,Q464452
LazareDeConstantinople,Lazare de,Constantinople,Lazare de Constantinople; Moine Lazare,personne ecclésiastique arménienne,"moine ou moniale, iconographe",0810,Empire byzantin,0867-01-01,Galata,Empire byzantin,,,,,,,Q2567661
NataleConti,Natale,Conti,Natalis Comes,historien milanais,"historien ou historienne, mythographe, poète ou poétesse | dit aussi Natalis Comes ou Noël Conti",1520-01-01,Milan,1582-01-01,Milan,république de Venise,,,12132220w,32030981,000000010884824X,495/37875,Q328186
AntonioDaSangalloIlGiovane,Antonio,Cordiani,Antonio da Sangallo le Jeune; Antoine Sangalo; Antoine Sangal; du Sangal; le Sangal,architecte italien,"Son of Antonio Cordiani and Smeralda Giamberti, a sister of Giuliano da Sangallo and Antonio da Sangallo the Elder. Antonio da Sangallo
            the Younger dominated the architectural scene in Rome during the second quarter of the sixteenth century. Probably trained by his uncles,
            he was taken by Giuliano to Rome around 1503. By his mid-thirties, Antonio the Younger had acquired practical experience on a variety of
            building projects under the leading masters of the High Renaissance (including Bramante and Raphael). Around 1515, he became the personal
            architect of Cardinal Alessandro Farnese (later Pope Paul III), for whom he began the Palazzo Farnese in Rome (ca.1515 - 1546) and the
            fortress of Caprarola (ca. 1521 - ca. 1527), which was later transformed into a villa by Giacomo Barozzi da Vignola. Under Paul III, he
            became a leading expert and practitioner of military architecture. Italian architect, known as ""the Younger"". | dit Antonio da Sangallo le Jeune",1484-04-12,Firenze,1546-08-03,Terni,,,500017734,12162457d,22181137,0000000116057026,495/17070,Q357276
Aristeas,"Aristéas, de",Corinthe,,,,,,,,,,,,,,,
Cleophante,"Cléophante, de",Corinthe,Cléophantos; Cleophante Corintien; Cleofante Corinthio; Cleofantes; Cleophante; Cléophante; Cleofante,peintre antique,artiste peintre,1400,N/A,1400,N/A,,,,,,,,Q11914094
DemarateDeCorinthe,Demarate de,Corinthe,Démarate de Corinthe; Demaratus; Demarate,noble corinthien,N/A,0700,Corinthe antique,0700,Tarquinia,Corinthe antique,,,,,,,Q458754
AlviseCornaro,Alvise Luigi,Cornaro,Cornaro,philosophe italien,N/A,1484,Venezia,1566-05-08,Padova,république de Venise,,500086008,12006922p,2480646,0000000123477387,495/49768,Q389140
MichelCorneille,"Michel, le vieux",Corneille,Michel Corneille,peintre et graveur français (1601-1664),,1601-01-01,Orléans,1664-06-13,Paris,France,,500007499,12467392c,95726616,0000000081682445,,Q2613210
PierreCorneille,Pierre,Corneille,PIERRE CORNEILLE DERYK; Pierre Corneille; Corneille,dramaturge et poète français (1606-1684),N/A,1606-06-06,Rouen,1684-10-01,Paris,royaume de France,,500353775,11897704j,41838293,0000000121296128,495/11677,Q747
CornelisVanHaarlem,Cornelius,Cornelii,CORNEILLE CORNEILLE; Cornélius Cornélii,peintre néerlandais,,1562-01-01,Haarlem,1638-11-11,Haarlem,Pays-Bas des Habsbourg,,500020887,122279758,35257139,0000000083428635,495/216131,Q442484
LucasCornelisz,Lucas,Cornelii,Lucas Cornélii,peintre néerlandais,,1493-01-01,Leyde,1552-01-01,Leyde,Pays-Bas,,500010177,,72486869,0000000116704553,,Q6696121
CornelisCort,Cornelis,Cort,Corneille Cort,artiste néerlandais,Comment on works: copper engraver; engraver; etcher,1533-01-01,Hoorn,1578-03-27,Roma,Provinces-Unies,,500011556,121728989,41881774,0000000081203387,495/26030,Q167220
PierreDeCortone,Pietro da,Cortona,Pietro Berrettini; Pierre Beretin de Cortonne; Piettro de Cortona; Pierre de Cortone; Piétre de Cortone; Pietro de Cortone; PIETRE BERETIN; Pierre Beretin; Beretin,peintre et architecte italien,"Son of Giovanni Berretoni, decorative carver. Born 1 November 1596, died 16 May 1669.",1596-11-01,Cortona,1669-05-16,Roma,Italie,,500115154,12288134z,95204251,0000000108594518,495/52531,Q333323
HernanCortes,Hernán,Cortés,Hernán Cortés; Ferdinand Cortés; Cortés,conquistador espagnol (1485-1547),"explorateur ou exploratrice, gouverneur, conquistador",1485,Medellín,1547-12-02,Castilleja de la Cuesta,Espagne,,500256133,118977574,49223767,0000000121318008,495/22025,Q7326
MatthiasCorvin,Matthias,Corvin,Matthias Corvin; Mathias Corvinus Roy de Hongrie,"roi de Hongrie, roi de Bohême, duc d'Autriche","personnalité politique, monarque | Matthias Ier de Hongrie de 1458 à 1490",1443-02-24,Cluj-Napoca,1490-04-06,Vienne,Hongrie,,,11969220f,4938768,0000000121185284,495/54557,Q188634
PieroDiCosimo,Piero,Cosimo,Pierre de Cosimo; Cosimo Rosselli; Pietro Cosimo; PIETRO COSIMO; Pierre Cosimo,peintre italien,Comment on works: Religious | dit Piero Cosimo,1462-01-02,Firenze,1522-04-12,Firenze,,,500007508,12471280v,95726685,0000000121032202,495/327888,Q280851
SilvioCosini,Silvio,Cosini,Silvio Cosini,"stuccoists, artist, sculptor",N/A,1495-01-01,Poggibonsi,1549-01-01,Milano,,,500028818,,74655418,0000000116732415,,Q3960853
LorenzoCosta,Lorenzo,Costa,Laurent Costa Ferrarois; LAURRENZO COSTA; Laurent Costa; Costa,peintre italien (1460–1535),"Worked for the ruling Bentivoglio family in Bologna and succeeded Mantegna as court painter at Mantua in 1507. Little of his large-scale
            work survives. His paintings are often noted for their delicate landscapes. He was older than his contemporary, Lorenzo Mantovano Costa,
            and is thus sometimes called ""Lorenzo Costa the elder,"" although they were not father and son (they may have been grandfather and
            grandson, although any familial relationship is uncertain). Comment on works: religious, history",1460,Ferrara,1535-05-03,Mantova,Italie,,500115131,149719620,47035057,000000008343391X,495/122481,Q357807
JeanICotelle,Jean le Vieux,Cotelle,Cotelle,"architecte, graveur et peintre français (1607-1676)",,1607-12-24,N/A,1676-03-25,Paris,France,,500008518,171661813,46067184,0000000066312980,495/158599,Q51463250
FrancisCottington,Francis,Cottington,Baron / Chancelier Cottington; Chancelier Cottington,"homme politique et diplomate anglais, 1er baron Cottington","diplomate, personnalité politique | Baron ou Chancelier",1579,N/A,1652,N/A,,,,,20493045,0000000071462326,,Q5480626
JacquesCouplet,Jacques,Couplet,Mr. Couplet,sculptor,N/A,1610,N/A,1657,N/A,,,,,,,,
JeanCousin,Jean,Cousin,Jean Cousin; JEAN COUSIN; Cousin,"peintre, sculpteur et graveur français","Possibly born in Souci, near Sens. Very little documented work by this successful artist survives; exceptions are three tapestries from a
            series on the life of St. Mammès, the painting ""Eva Prima Pandora,"" and two windows in Sens Cathedral. In 1560 he published a treatise on
            perspective. He probably died in Paris. Comment on works: Portraits; History",1490,Sens,1560,Paris,France,,500115218,12467444s,5029938,0000000115880141,495/203345,Q2610648
PierreCoustau,Pierre,Coustau,"Petrus Costalius, il Costa; Costa","jurisconsulte et humaniste, avocat au Parlement de Paris. vraisemblablement identifiable au traducteur de l'hébreu Petrus Costus","juriste, humaniste de la Renaissance, avocat ou avocate | Aussi connu sous son nom latin Petrus Costalius. On trouve aussi chez Lomazzo ""il Costa"" (Idea).",1550-01-01,Paris,1550-01-01,N/A,France,,,12545328j,27179677,0000000123201006,495/107083,Q16590303
MichelICoxie,Michel I,Coxie,Michel Cocxisien; Michel Coxis de Malines; MICHEL COXIS,peintre flamand,,1499-03-14,Mechelen,1585,Mechelen,Pays-Bas des Habsbourg,,500003940,14972031g,7659780,0000000066294049,495/15206,Q937645
CristoforoDaFerrara,,,Cristoforo da Ferrara; Christofano de Modene,"artist, fresco painter, history artist, painter",Comment on works: Religious | Christofano de Modene,1330,N/A,1440,N/A,,,,,,,,
SimoneDeiCrocifissi,Simone,Crocifissi,Simone dei Crocifissi; Simon du Crucifix,"artist, painter",Comment on works: religious | dit Simone dei Crocifissi,1330,Bologne,1399,Bologne,États pontificaux,,500000136,,95681428,000000002745955X,,Q3484633
MilonDeCrotone,"Milon, de",Crotone,Milon de Crotone; Milone,lutteur du VIe siècle av. J. C.,lutteur | athlète grec du VIe siècle originaire de Crotone,0550,Crotone,0600,cap Colonna,,,,,42230423,,,Q338948
Cresus,Crésus,Crésus,Crésus; Cressus; Cresus; Creso,roi de Lydie et dernier souverain de la dynastie des Mermnades (vers 596-Vers 546 av. J.-C.),homme d'État,0596,N/A,,Sardes,,,500354817,14953437g,60158790507938850324,0000000066768443,,Q184462
Cupidon,Cupidon,Cupidon,Cupidon; Cupido,dieu de l'amour dans la mythologie romaine,N/A,,N/A,,N/A,,,,,311314174,,,Q5011
LuciusPapiriusCursor,Lucius,Cursor,Lucius Papirius Cursor; Papyrius,consul et dictateur romain,"homme politique de la Rome antique, militaire romain",0350,Rome antique,0350-01-01,N/A,Rome antique,,,,,,,Q465309
InnocentVIII,Giovanni Battista,Cybo,Innocent VIII; Innocentio ottavo; Innocent huitiéme; Innocent,"213e pape de l’Église catholique, de 1484 à 1492",prêtre catholique | Pape sous le nom d'Innocent VIII,1432-11-30,Gênes,1492-07-25,Rome,,,500319907,12287809f,29596770,000000012125987X,495/9275,Q161351
Cybele,Cybèle,Cybèle,Cybèle; Cybelle; Cibele,divinité d'origine phrygienne,N/A,,N/A,,N/A,,,,,10639267,,,Q188236
Cyllare,Cyllare,Cyllare,Cyllare,n/a,N/A,,N/A,,N/A,,,,,,,,Q3676711
Theodoret,"Theodoret, de",Cyrus,Théodoret de Cyr; Teodoret,"évêque, théologien et historiographe chrétien de langue grecque","prêtre, historien ou historienne de l'Église, historien ou historienne, écrivain ou écrivaine",0393-01-01,Antioche,0457,Cyrrhus,,,,130916726,77111352,0000000121025168,495/24540,Q317029
CyrusII,Cyrus,Cyrus II,Cyrus II; Cyrus; Cirus; Cyre,fondateur de l’Empire perse,"souverain, chef militaire, fondateur ou fondatrice, monarque",0600,Anshan,0530,Syr-Daria,Empire achéménide,,500354805,12098590d,311113679,0000000437560028,495/13603,Q8423
SainteCecile,Cécile,Cécile de Rome,Cécile de Rome; Saincte Cecile; Sainte Cécile; Santa Cecilia; sainte Cecile; Ste. Cecille,sainte chrétienne patronne des musiciens,musicien ou musicienne,0180,Rome,0230-11-22,Rome,Rome antique,,,13181544n,12282035,000000009591231X,,Q80513
Simonide,Simonide,"Céos, de",Simonide,,,,,,,,,,,,,,
Ceres,Cérès,Cérès,Cérès; Ceres,"déesse romaine de l'agriculture, des moissons et de la fécondité",N/A,,N/A,,N/A,,,,124415059,15567160,,,Q32102
EusebeDeCesaree,Eusèbe de,Césarée,Eusèbe de Césarée; Eusebe de Cesarée; Eusebe Pamphile; Eusebe,évêque et auteur chrétien des IIIe-IVe siècles,"théologien ou théologienne, prêtre, écrivain ou écrivaine, historien ou historienne",0265,Césarée,0339,Césarée,Rome antique,,,11902007r,4929593,0000000122758806,495/18769,Q142999
SaintFidele,Saint-Fidèle,Côme,Fidèle de Côme; San Fedele,n/a,N/A | Aussi connu sous le nom de Fidèle de Côme.,,N/A,0304,Sorico,,,,,,,,Q603655
BattistaDelMoro,Battista,d'Agnolo,Battista del Moro; Baptiste Delmoro; Batiste d’Angelo,peintre italien du XVIe siècle,"Comment on works: religious | ou Battista Angolo del Moro appelé aussi Angeli et, occasionnellement, Angelo ou Agnolo",1512-01-01,Verona,1573,Venise,république de Venise,,500015168,14870521w,37771338,0000000117587061,,Q2891762
CharlesDAlbertDAilly,Charles,d'Ailly,,diplomate français,,1625-01-01,,1698-09-04,Paris,France,,,,171254257,,,Q2960494
DemetriosAlopece,Démétrios,d'Alopèce,Démétrios d'Alopèce; Démetrius; Demetrio,sculpteur antique,sculpteur ou sculptrice,0500,Alopèce,0400,Athènes,Athènes,,500087873,,327159474184527661602,,495/328554,Q5255305
GeorgesDAmboise,Georges,d'Amboise,,cardinal de l'Église catholique romaine,,1460-00-00,Chaumont-sur-Loire,1510-05-25,Lyon,France,,,14551174p,15012552,0000000079842817,495/101966,Q729743
CarloLuigiDAragonaTagliava,Carlo Luigi,d'Aragona Tagliava,Magnus Siculus; Duca di Terranova,général italien,"diplomate | Aussi surnommé ""Magnus Siculus"".",1520,Palerme,1599-01-01,Madrid,,,,125272766,5040923,0000000120756276,495/282282,Q3659979
TigraneLeGrand,Tigrane II,d'Arménie,Tigrane d'Arménie; Tigranes; Tigrane,roi d'Arménie,souverain,0140-01-01,Artachat,0055-01-01,royaume d'Arménie,,,,164912966,23708974,0000000063176696,495/317366,Q201303
AlbertVII,Albert,d'Autriche,Albert VII; l'Archiduc Albert d'Autriche; l'Archiduc Albert; Archiduc Albert,cardinal de l'Église catholique romaine,"militaire, dirigeant ou dirigeante | Vice-roi du Portugal de 1580 à 1593, gouverneur des Pays-Bas de 1595 à 1598 puis archiduc souverain des Pays-Bas de 1598 à 1621",1559-11-15,Wiener Neustadt,1621-07-13,Bruxelles,archiduché d'Autriche,,,13511700t,268175280,0000000061278656,495/87369,Q311452
AnneDAutriche,Anne,d'Autriche,Anne d'Autriche; Reyne Regente; Reine Regente,"infante d’Espagne, reine consort de France et de Navarre (1601-1666)",reine régnante | Reine (1615 à 1643) puis Régente (1643-1651) du royaume de France,1601-09-22,Valladolid,1666-01-20,Paris,Espagne,,500354215,119384982,72187556,0000000055360231,,Q151209
MarieThereseDAutriche,Marie thérèse,d'Autriche,Infante d'Espagne; Infante d’Espagne,reine de France,régent ou régente,1638-09-10,Madrid,1683-07-30,Versailles,France,,500354084,12186343t,18025320,0000000050760084,495/133282,Q152549
CatherineDAutriche,Catherine,d'Autriche,Catherine d'Autriche,"princesse de la dynastie des Habsbourg, reine de Pologne et grande duchesse de Lituanie (1494-1557)","aristocrate | Par sa naissance, elle est archiduchesse d'Autriche et princesse de Hongrie et de Bohême, avant de devenir duchesse de Mantoue, reine de
            Pologne et grande-duchesse de Lituanie.",1533-09-15,Innsbruck,1572-02-28,Linz,,,,,81319677,0000000055734061,,Q237737
CatherineMichelleDAutriche,Catherine-Michelle,d'Autriche,Catherine-Michelle d'Autriche; Donna Caterina d'Austria,femme politique espagnole,"personnalité politique | Fille de Philippe II d'Espagne et d'Elisabeth de France, elle devient duchesse de Savoie en 1585.",1567-10-10,Madrid,1597-11-06,Turin,Espagne,,,,32801096,0000000063181276,495/298089,Q233187
ErnestDAutriche,Ernest,d'Autriche,Ernest d'Autriche; Arciduca Ernesto,archiduc autrichien (1553-1595),personnalité politique | Archiduc du Saint Empire de 1594 à 1595.,1553-06-15,Vienne,1595-02-12,région métropolitaine de Bruxelles,Saint-Empire romain germanique,,,,45135798,0000000061284482,495/130331,Q327156
DonJuanDAutriche,Juan,d'Autriche,Don Juan d'Autriche; Don Giovan d'Austria,prince espagnol ayant vécu au XVIe siècle,"condottiere, diplomate, officier, militaire | Fils illégitime de Charles Quint.",1547-02-24,Ratisbonne,1578-10-01,Namur,Espagne,,,11938118r,25397110,0000000117520385,495/58129,Q157107
MarieDAutriche,Marie,d'Autriche,Marie de Hongrie; Reine de Hongrie,gouvernante des Pays-Bas espagnols et reine consort de Hongrie et de Bohême (1505-1558),"régent ou régente | Archiduchesse d'Autriche, infante d'Espagne et, par son mariage, reine consort de Hongrie et de Bohême. Aussi connue sous le nom de
            ""Marie de Hongrie"".",1505-09-15,région métropolitaine de Bruxelles,1558-10-18,Cigales,couronne de Castille,,,123664671,77119805,0000000114754258,495/201269,Q157077
CharlesIIEspagne,Charles,d'Espagne,Charles II d'Espagne,roi d'Espagne,dirigeant ou dirigeante | Roi de 1665 à 1700,1661-11-06,Madrid,1700-11-01,Madrid,Espagne,,500356629,10084964h,87648027,0000000109223700,495/15234,Q36174
PhilippeIV,Philippe,d'Espagne,Philippe IV d'Espagne; Philippe IV,roi espagnol de la maison de Habsbourg (1605-1665),"monarque, dirigeant ou dirigeante, personnalité politique, collectionneur ou collectionneuse d'œuvres d'art",1605-04-08,palais royal de Valladolid,1665-09-17,N/A,Espagne,,500282775,121154782,42764,0000000373848590,495/9267,Q691402
HerculeIIEste,Hercule,d'Este,Hercule II; Hercule de Ferrare; Le Duc Hercules; Hercules II,"duc de Ferrare, de Modène et de Reggio d'Emilie",personnalité politique | Duc de Ferrare,1508-04-05,Ferrare,1559-10-03,Ferrare,,,,150368035,62395237,0000000080347960,495/26484,Q1348702
BeatriceDEste,Beatrice,D'Este,Béatrice d'Este; duchessa Beatrice,"duchesse de Milan et de Bari, femme d'État","duc, homme d'État, modéliste, personnalité politique, mécène, ambassadeur ou ambassadrice, chasseur ou chasseresse, cavalier,
            luogotenente | épouse de Ludovico Sforza",1475-06-29,Ferrare,1497-01-03,Milan,duché de Ferrare,,,,10639562,000000005533253X,495/61164,Q813280
GabrielleDEstrees,Gabrielle,d'Estrées,,"noble française, maîtresse de Henri IV, roi de France",,1573-00-00,château de La Bourdaisière,1599-04-10,Paris,royaume de France,,,12129253b,67269556,0000000119357200,,Q234911
GuillaumeInspruck,Guillaume,d'Inspruck,Guillaume d'Inspruck; Guillaûme Oltramontano,n/a,architecte,,N/A,,N/A,,,,,,,,Q24950852
MarcoDOggiono,Marco,D'Oggiono,Marco Uggioni,peintre italien,ou Marco Uggioni,1470,Oggiono,1540,Milano,Italie,,500019724,,30466157,,495/76187,Q982274
MichelinoDaBesozzo,Michelino,da Besozzo,Michelino de' Molinari; Michelino da Besozzo,peintre italien,Aussi connu sous le nom de Michelino de' Molinari,1370-01-01,Besozzo,1455-01-01,N/A,,,500030388,,95869019,0000000118097419,,Q2517498
PieroDaVinci,Piero,Da Vinci,Pierre de Vinci; Piero suo padre; Piero da Vinci,père de Léonard de Vinci,"N/A | Pierre de Vinci, père de Léonard de Vinci, notaire et procureur de la ville de Vinci",1426,N/A,1504-07-09,N/A,,,,,,,,Q371916
BernardoDaddi,Bernardo,Daddi,Bernardo Daddi,"fresco painter, painter",N/A,1290,N/A,1348,N/A,,,,,,,,
Dagobert,Dagobert,Dagobert,Dagobert Ier; Dagobert,roi des Francs de la dynastie mérovingienne,monarque | Roi des Francs de 629 à 639.,0611,N/A,0639-01-19,Saint-Denis,France,,,119403502,79038721,0000000439592488,,Q109860
Dagon,Dagon,Dagon,Dagon,dieu sémitique,N/A | dieu des populations sémitiques occidentales antiques,,N/A,,N/A,,,,14593954k,2669158127382715150007,,,Q623065
GaspardDeDaillonDuLude,Gaspard de,Daillon du Lude,Gaspard de Daillon; Monsieur du Lude,prélat français,"prélat, évêque catholique",1603-01-01,Paris,1676-07-25,N/A,France,,,15323697c,10148596,000000000154449X,,Q3098816
LippoDalmasio,Lippo,Dalmasio,Lippo Dalmasio,peintre italien,Comment on works: Religious,1352-01-01,Bologne,1410-01-01,Bologne,seigneurie de Bologne,,500003024,,95699112,0000000052330504,,Q2009694
Danae,Danaé,Danaé,Danaé; Danae,"personnage de la mythologie grecque, fille d'Acrisios et d'Eurydice, mère de Persée",N/A,,N/A,,N/A,,,,150828099,206475582,,,Q190582
PellegrinoDaSanDaniele,Pellegrino,Daniele,Pellegrino da San Daniele; Jean Martin d’Udine,peintre italien,N/A | connu comme Pellegrino da San Daniele Jean Martin d’Udine chez Monier,1467-01-01,San Daniele del Friuli,1547-12-17,Udine,république de Venise,,500007834,,24446761,000000005489416X,495/59108,Q732082
IgnazioDanti,Ignazio,Danti,Ignazio Danti; Egnatio Danti; P. Danti,n/a,"astronome, cartographe, mathématicien ou mathématicienne, prêtre catholique, professeur, cosmographe, philosophe, évêque catholique",1536-04-30,Pérouse,1586-10-19,Alatri,Italie,,500022630,145332908,247578,0000000083387271,495/124301,Q948226
